scientific_name,park_name,observations,category,common_names,conservation_status
eleocharis quinqueflora,bryce national park,106,vascular plant,"fewflower spikerush, few-flower spikerush, few-flower spike-rush, fewflowered spikesedge",
crotalaria sagittalis,bryce national park,56,vascular plant,arrowhead rattlebox,
erechtites hieracifolia,yosemite national park,134,vascular plant,burnweed,
scrophularia marilandica,bryce national park,89,vascular plant,"carpenter's square figwort, figwort",
viola blanda var. blanda,great smoky mountains national park,108,vascular plant,sweet white violet,
hordeum murinum ssp. murinum,yosemite national park,115,vascular plant,wall barley,
calcarius lapponicus,bryce national park,91,bird,lapland longspur,
agrostis mertensii,yosemite national park,135,vascular plant,northern agrostis,
agrostis mertensii,yosemite national park,135,vascular plant,"arctic bentgrass, northern bentgrass",
seiurus aurocapilla,bryce national park,86,bird,ovenbird,
chelone lyonii,yellowstone national park,244,vascular plant,pink turtlehead,
viburnum edule,yosemite national park,136,vascular plant,squashberry,
platanthera obtusata,great smoky mountains national park,116,vascular plant,"bluntleaved orchid, northern small bog orchid",
pseudacris maculata,bryce national park,109,amphibian,boreal chorus frog,
chasmanthium sessiliflorum,yellowstone national park,257,vascular plant,"longleaf spikegrass, longleaf woodoats",
dichanthelium acuminatum var. acuminatum,yosemite national park,123,vascular plant,tapered rosette grass,species of concern
osmorhiza berteroi,yellowstone national park,263,vascular plant,"mountain sweetroot, sweet cicely, sweetcicely",
hackelia nervosa,yosemite national park,168,vascular plant,"sierra stickseed, sierran stickseed",
poa sylvestris,bryce national park,118,vascular plant,woodland bluegrass,
amorpha fruticosa,yellowstone national park,258,vascular plant,"false indigo, false indigo-bush",
anthemis cotula,yellowstone national park,252,vascular plant,"mayweed, stinking chamomile",
anthemis cotula,yellowstone national park,252,vascular plant,"chamomile, dog fennel, dogfennel, mayweed, mayweed chamomile, mayweed dogfennel, stinking chamomile, stinkweed",
rumex obtusifolius,great smoky mountains national park,27,vascular plant,bitter dock,
clarkia rhomboidea,great smoky mountains national park,92,vascular plant,"broadleaf clarkia, diamond clarkia, diamond fairyfan",
berberis canadensis,great smoky mountains national park,74,vascular plant,american barberry,
poa bolanderi,yosemite national park,135,vascular plant,bolander's bluegrass,
zonotrichia atricapilla,bryce national park,94,bird,golden-crowned sparrow,
pinus,bryce national park,94,vascular plant,pine,
potentilla fruticosa,bryce national park,71,vascular plant,"bush cinquefoil, golden hardhack, shrubby cinquefoil, widdy",
melanerpes erythrocephalus,great smoky mountains national park,84,bird,red-headed woodpecker,
digitaria violascens,yosemite national park,132,vascular plant,violet crabgrass,
hypochaeris radicata,great smoky mountains national park,57,vascular plant,"cat's ear, spotted cat's-ear",
hypochaeris radicata,great smoky mountains national park,57,vascular plant,"spotted cats-ear, hairy cats-ear, gosmore",
hypochaeris radicata,great smoky mountains national park,57,vascular plant,"common cat's-ear, false dandelion, frogbit, gosmore, hairy cat's ear, hairy catsear, spotted catsear",
phacelia egena,yellowstone national park,282,vascular plant,"kaweah river phacelia, kaweah river scorpion-weed",
atrichum oerstedianum,great smoky mountains national park,74,nonvascular plant,oersted's atrichum moss,
pinus lambertiana,bryce national park,116,vascular plant,"california sugar pine, sugar pine",
thalictrum alpinum,bryce national park,110,vascular plant,"alpine meadowrue, alpine meadow-rue",
jeffersonia diphylla,yellowstone national park,258,vascular plant,twinleaf,
triosteum perfoliatum,yellowstone national park,257,vascular plant,feverwort,
vaccinium parvifolium,yellowstone national park,253,vascular plant,red huckleberry,
sematophyllum demissum,bryce national park,109,nonvascular plant,sematophyllum moss,
phlox stolonifera,yellowstone national park,247,vascular plant,creeping phlox,
cryptantha muricata,yellowstone national park,267,vascular plant,"pointed catseye, pointed cryptantha, prickly cryptantha",
pseudoroegneria spicata,yosemite national park,156,vascular plant,"bluebunch wheatgrass, bluebunch-wheat grass",
prosartes maculatum,great smoky mountains national park,105,vascular plant,spotted mandarin,
cuscuta compacta,yosemite national park,140,vascular plant,"bracted dodder, sessile dodder",
salix farriae,bryce national park,108,vascular plant,farr's willow,
coreopsis tripteris,bryce national park,86,vascular plant,tall tickseed,
vermivora celata,yosemite national park,106,bird,orange-crowned warbler,
malus angustifolia,great smoky mountains national park,71,vascular plant,"narrowleaf crabapple, southern crabapple",
cyanocitta stelleri,yellowstone national park,230,bird,steller's jay,
platanthera dilatata var. dilatata,yellowstone national park,257,vascular plant,scentbottle,
cheilanthes intertexta,yosemite national park,124,vascular plant,coastal lipfern,
carex lenticularis var. lipocarpa,bryce national park,112,vascular plant,"kellogg sedge, kellogg's sedge",
floerkea proserpinacoides,yosemite national park,131,vascular plant,"false mermaidweed, false mermaid-weed",
juncus effusus var. solutus,yosemite national park,131,vascular plant,lamp rush,
thelypodium sagittatum,yosemite national park,164,vascular plant,"arrow thelypody, slender thelypody",
lychnis coronaria,yellowstone national park,260,vascular plant,rose campion,
carduelis tristis,bryce national park,110,bird,american goldfinch,
cicuta douglasii,bryce national park,119,vascular plant,"douglas' waterhemlock, water hemlock, western water hemlock",
melanthium latifolium,yosemite national park,167,vascular plant,"bunch-flower, hybrid bunchflower",
lespedeza procumbens,yellowstone national park,233,vascular plant,"low bush-clover, trailing bush-clover",
juncus ensifolius var. montanus,bryce national park,83,vascular plant,rocky mountain rush,
osmorhiza depauperata,great smoky mountains national park,67,vascular plant,"blunt-fruit sweet-cicely, bluntseed sweetroot",
cucumis melo,bryce national park,80,vascular plant,canteloupe,
viola blanda var. blanda,yellowstone national park,245,vascular plant,sweet white violet,
oncorhynchus mykiss,yosemite national park,118,fish,rainbow trout,
oncorhynchus mykiss,yosemite national park,118,fish,rainbow trout,threatened
ajuga reptans,great smoky mountains national park,60,vascular plant,"bugleweed, carpet-bugel",
ranunculus pusillus,great smoky mountains national park,82,vascular plant,"aquatic buttercup, pursh buttercup",
taraxacum ceratophorum,yosemite national park,151,vascular plant,"common dandelion, woolbearing dandelion",
oxytropis parryi,great smoky mountains national park,66,vascular plant,"parry pointvetch, parry's crazyweed, parry's oxytrope",
cynosurus echinatus,bryce national park,75,vascular plant,bristly dogstail grass,
platanthera stricta,bryce national park,76,vascular plant,"modoc bog orchid, slender bog orchid",
dodecatheon subalpinum,yellowstone national park,206,vascular plant,sierra shootingstar,
rumex paucifolius,great smoky mountains national park,86,vascular plant,"alpine sheep sorrel, fewleaved dock, meadow dock",
cyperus pseudovegetus,bryce national park,108,vascular plant,marsh flatsedge,
malus coronaria,great smoky mountains national park,75,vascular plant,northern crabapple,
nepeta cataria,yosemite national park,189,vascular plant,catnip,
nepeta cataria,yosemite national park,189,vascular plant,"catmint, catnip, catwort, field balm",
hieracium piloselloides,bryce national park,77,vascular plant,king devil,
dichanthelium dichotomum var. dichotomum,yellowstone national park,242,vascular plant,small panic grass,
bidens aristosa,bryce national park,111,vascular plant,stick-tight,
secale cereale,great smoky mountains national park,82,vascular plant,"cultivated rye, rye",
secale cereale,great smoky mountains national park,82,vascular plant,"cereal rye, common rye, cultivated annual rye, cultivated rye, rye",
rugelia nudicaulis,yosemite national park,120,vascular plant,rugel's ragwort,species of concern
iva annua,great smoky mountains national park,70,vascular plant,iva,
bromus suksdorfii,yellowstone national park,243,vascular plant,suksdorf's brome,
taenidia integerrima,bryce national park,114,vascular plant,"yellow pimpernel, yellow pimpernell",
symphyotrichum spathulatum,bryce national park,110,vascular plant,western mountain aster,
heterotheca villosa var. villosa,yellowstone national park,276,vascular plant,"hairy false goldenaster, hairy false golden-aster",
pica hudsonia,yellowstone national park,239,bird,"black-billed magpie, magpie",
pica hudsonia,yellowstone national park,239,bird,black-billed magpie,
viburnum lentago,great smoky mountains national park,74,vascular plant,"nannyberry, nanny-berry",
saxifraga subapetala,yellowstone national park,265,vascular plant,yellowstone saxifrage,
helianthella quinquenervis,yellowstone national park,237,vascular plant,"fivenerve helianthella, nodding dwarf-sunflower, nodding helianthella",
pteridium aquilinum var. latiusculum,great smoky mountains national park,29,vascular plant,bracken fern,
sturnus vulgaris,yellowstone national park,233,bird,european starling,
sturnus vulgaris,yellowstone national park,233,bird,"common starling, european starling",
carex preslii,great smoky mountains national park,25,vascular plant,presl's sedge,
pellaea breweri,great smoky mountains national park,73,vascular plant,brewer's cliffbrake,
houstonia longifolia var. longifolia,yellowstone national park,254,vascular plant,long-leaved bluets,
mustela erminea,bryce national park,118,mammal,"ermine, short tailed weasel",
mustela erminea,bryce national park,118,mammal,ermine,
monotropa hypopithys,yosemite national park,154,vascular plant,"american pinesap, pine-sap",
monotropa hypopithys,yosemite national park,154,vascular plant,pinesap,
pandion haliaetus,yosemite national park,134,bird,osprey,species of concern
pandion haliaetus,yosemite national park,134,bird,"osprey, western osprey",species of concern
nandina domestica,yellowstone national park,220,vascular plant,"heavenly bamboo, nandina",
aix sponsa,yosemite national park,152,bird,wood duck,
iris missouriensis,yosemite national park,127,vascular plant,"rocky mountain iris, western blue flag, wild iris, wildiris",species of concern
rigiopappus leptocladus,yellowstone national park,266,vascular plant,wireweed,
trifolium aureum,yellowstone national park,263,vascular plant,yellow or hop-clover,
trifolium aureum,yellowstone national park,263,vascular plant,golden clover,
ericameria cuneata var. cuneata,yosemite national park,166,vascular plant,cliff goldenbush,
juncus marginatus,great smoky mountains national park,53,vascular plant,"grassleaf rush, margined rush",
carex jamesii,great smoky mountains national park,117,vascular plant,"james? sedge, nebraska sedge",
carex gracillima,yellowstone national park,240,vascular plant,graceful sedge,
crotalus viridis viridis,great smoky mountains national park,55,reptile,prairie rattlesnake,
penstemon procerus,yellowstone national park,215,vascular plant,"littleflower penstemon, pincushion beardtongue",
thaspium trifoliatum var. aureum,yosemite national park,125,vascular plant,"purple meadow-parsnip, yellow meadow-parsnip",
leucobryum glaucum,bryce national park,89,nonvascular plant,leucobryum moss,
empidonax difficilis,yellowstone national park,261,bird,pacific-slope flycatcher,
sonchus oleraceus,bryce national park,99,vascular plant,"annual sowthistle, common sowthistle, common sow-thistle, pualele, sow thistle, sow-thistle",
stizostedion vitreum,great smoky mountains national park,108,fish,walleye,
heterocladium macounii,great smoky mountains national park,110,nonvascular plant,macoun's heterocladium moss,
saponaria officinalis,great smoky mountains national park,79,vascular plant,"bouncing-bet, soapwort, bouncing-bet",
saponaria officinalis,great smoky mountains national park,79,vascular plant,"bouncing bet, bouncingbet, bouncingbet soapweed, soapwort, sweet betty",
stizostedion canadense,bryce national park,76,fish,sauger,
riparia riparia,yellowstone national park,199,bird,bank swallow,species of concern
riparia riparia,yellowstone national park,199,bird,"bank swallow, sand martin",species of concern
chasmanthium sessiliflorum,great smoky mountains national park,70,vascular plant,"longleaf spikegrass, longleaf woodoats",
setophaga dominica,yosemite national park,140,bird,yellow-throated warbler,
desmodium paniculatum var. paniculatum,yellowstone national park,206,vascular plant,panicledleaf ticktrefoil,
sayornis nigricans,yosemite national park,128,bird,black phoebe,
logfia arvensis,yosemite national park,154,vascular plant,field cottonrose,
sambucus mexicana,yellowstone national park,232,vascular plant,mexican elder,
gratiola viscidula,great smoky mountains national park,107,vascular plant,short's hedgehyssop,
populus alba,yellowstone national park,251,vascular plant,"silver poplar, white poplar",
galium obtusum,yosemite national park,114,vascular plant,"blunt-leaf bedstraw, blunt-leaved bedstraw",
rosa setigera,yosemite national park,135,vascular plant,prairie rose,
cercocarpus betuloides var. betuloides,yellowstone national park,269,vascular plant,birch-leaf mountain-mahogany,
opuntia fragilis,great smoky mountains national park,57,vascular plant,"brittle cactus, brittle pricklypear, fragile cactus, jumping cactus, little pricklypear",
smallanthus uvedalius,bryce national park,91,vascular plant,hairy leafcup,
silene stellata,bryce national park,98,vascular plant,"starry campion, starry catchfly",
richardsonius balteatus,yosemite national park,163,fish,redside shiner,
panicum rigidulum var. elongatum,bryce national park,93,vascular plant,"stalked-fruit panic grass, tall flat panic-grass",
eriogonum prattenianum var. prattenianum,yosemite national park,143,vascular plant,nevada city buckwheat,
doellingeria infirma,great smoky mountains national park,68,vascular plant,cornel-leaf whitetop,
agoseris aurantiaca,yellowstone national park,241,vascular plant,"orange agoseris, orange-flowered false-dandelion",
verbena hastata,yosemite national park,122,vascular plant,"blue verbena, blue vervain, simpler's-joy, swamp verbena",
aster patens var. patens,yellowstone national park,230,vascular plant,late purple aster,
elymus glaucus ssp. glaucus,bryce national park,70,vascular plant,"blue wild rye, blue wildrye",
fleischmannia incarnata,bryce national park,96,vascular plant,pink thoroughwort,
sialia sialis,great smoky mountains national park,69,bird,eastern bluebird,
scolochloa festucacea,bryce national park,97,vascular plant,"common rivergrass, rivergrass",
elymus hystrix var. hystrix,yosemite national park,166,vascular plant,eastern bottlebrush grass,
sarracenia purpurea,yellowstone national park,235,vascular plant,purple pitcherplant,
eriogonum ovalifolium var. nivale,bryce national park,149,vascular plant,cushion buckwheat,
sedum sarmentosum,great smoky mountains national park,56,vascular plant,"stonecrop, stringy stonecrop",
brachydontium trichodes,yosemite national park,141,nonvascular plant,peak moss,
geranium dissectum,great smoky mountains national park,119,vascular plant,cutleaf geranium,
typha angustifolia,bryce national park,77,vascular plant,narrowleaf cattail,
prunus hortulana,yosemite national park,147,vascular plant,hortulan plum,
ranunculus acris,yosemite national park,142,vascular plant,"tall buttercup, tall butter-cup",
eurybia chlorolepis,yellowstone national park,216,vascular plant,mountain aster,
sphenopholis pensylvanica,great smoky mountains national park,49,vascular plant,"swamp wedgescale, trisetum",
circaea alpina,bryce national park,114,vascular plant,"small enchanter's nightshade, smaller enchanter's-nightshade",
erigenia bulbosa,bryce national park,124,vascular plant,harbinger of spring,
senecio streptanthifolius,great smoky mountains national park,69,vascular plant,cleftleaf groundsel,
lasiurus blossevillii,bryce national park,113,mammal,western red bat,species of concern
astragalus alpinus,great smoky mountains national park,82,vascular plant,alpine milkvetch,
crataegus uniflora,great smoky mountains national park,91,vascular plant,dwarf hawthorn,
streptopus lanceolatus var. roseus,bryce national park,99,vascular plant,twistedstalk,
lycopus asper,yellowstone national park,283,vascular plant,"rough bugleweed, rough water-horehound",
empidonax wrightii,bryce national park,116,bird,"gray flycatcher, grey flycatcher",
empidonax wrightii,bryce national park,116,bird,gray flycatcher,
symphyotrichum retroflexum,yosemite national park,163,vascular plant,rigid whitetop aster,
ericameria cuneata var. cuneata,bryce national park,100,vascular plant,cliff goldenbush,
mimulus laciniatus,yellowstone national park,239,vascular plant,cutleaf monkeyflower,
senecio clarkianus,yosemite national park,157,vascular plant,clark's ragwort,
saccharum alopecuroidum,yosemite national park,145,vascular plant,beardgrass,
picoides borealis,yosemite national park,43,bird,red-cockaded woodpecker,endangered
lepidium ramosissimum,bryce national park,91,vascular plant,"manybranched pepperweed, pepperweed",
plagiomnium ciliare,bryce national park,108,nonvascular plant,plagiomnium moss,
malva neglecta,yellowstone national park,229,vascular plant,"common mallow, dwarf cheeseweed",
malva neglecta,yellowstone national park,229,vascular plant,"buttonweed, cheeseplant, cheeseweed, common mallow, dwarf mallow, roundleaf mallow",
amelanchier utahensis,great smoky mountains national park,66,vascular plant,"utah serviceberry, utah shadberry, western serviceberry",
allium campanulatum,yellowstone national park,234,vascular plant,"dusky onion, sierra onion",
carex integra,yellowstone national park,258,vascular plant,"smoothbead sedge, smoothbeak sedge",
castilleja lacera,yellowstone national park,230,vascular plant,cutleaf indian paintbrush,
collomia heterophylla,great smoky mountains national park,49,vascular plant,variableleaf collomia,
anemone occidentalis,yosemite national park,148,vascular plant,white pasqueflower,
senecio aureus,yosemite national park,153,vascular plant,golden ragwort,
astragalus congdonii,yellowstone national park,230,vascular plant,congdon's milkvetch,
carex,bryce national park,80,vascular plant,"carex, sedge, sedge species, sedges",
lysimachia hybrida,yellowstone national park,246,vascular plant,"intermediate loosestrife, lance-leaf loosestrife",
amaranthus albus,yellowstone national park,212,vascular plant,"white amaranthus, white pigweed",
amaranthus albus,yellowstone national park,212,vascular plant,"pigweed, pigweed amaranth, prostrate pigweed, tumble pigweed, tumbleweed, white pigweed",
poa palustris,yosemite national park,172,vascular plant,"fowl bluegrass, marsh bluegrass",
poa palustris,yosemite national park,172,vascular plant,"fowl blue grass, fowl bluegrass",
melilotus albus,bryce national park,85,vascular plant,white sweet-clover,
melilotus albus,bryce national park,85,vascular plant,"bokhara-clover, honey-clover, white melilot, white sweet-clover",
quercus michauxii,bryce national park,131,vascular plant,swamp chestnut oak,
uvularia perfoliata,great smoky mountains national park,79,vascular plant,perfoliate bellwort,
thalictrum fendleri,yosemite national park,146,vascular plant,"fendler's meadowrue, fendler's meadow-rue",
epilobium lactiflorum,yellowstone national park,239,vascular plant,"broadleaf willowweed, milkflower willowherb, white-flower willowherb",
poecile atricapillus,great smoky mountains national park,97,bird,black-capped chickadee,
helmitheros vermivorus,yellowstone national park,291,bird,worm-eating warbler,
sequoiadendron giganteum,yosemite national park,141,vascular plant,"giant redwood, giant sequoia, sierra redwood",
ditrichum pusillum,yosemite national park,160,nonvascular plant,ditrichum moss,
viburnum lantana,yellowstone national park,245,vascular plant,"way-faring tree, wayfaring-tree",
ailanthus altissima,bryce national park,73,vascular plant,tree-of-heaven,
salix bebbiana,bryce national park,86,vascular plant,"bebb's willow, gray willow",
townsendia parryi,bryce national park,70,vascular plant,"parry's townsend daisy, parry's townsendia",
corynorhinus rafinesquii,yosemite national park,188,mammal,rafinesque's big-eared bat,
nycticorax nycticorax,great smoky mountains national park,64,bird,black-crowned night-heron,species of concern
nycticorax nycticorax,great smoky mountains national park,64,bird,black-crowned night heron,species of concern
lespedeza hirta,bryce national park,106,vascular plant,hairy bush-clover,
neckera pennata,bryce national park,115,nonvascular plant,neckera moss,
ageratina occidentalis,yellowstone national park,246,vascular plant,"western eupatorium, western joepyeweed, western snakeroot",
baeolophus inornatus,bryce national park,97,bird,oak titmouse,
ribes cynosbati,yellowstone national park,237,vascular plant,prickly gooseberry,
krascheninnikovia lanata,yosemite national park,151,vascular plant,winterfat,
rumex crispus,yellowstone national park,256,vascular plant,"curled dock, curly dock",
rumex crispus,yellowstone national park,256,vascular plant,"curly dock, narrowleaf dock, sour dock, yellow dock",
lonicera involucrata,yosemite national park,129,vascular plant,"bearberry honeysuckle, twinberry honeysuckle",
pluvialis dominica,bryce national park,111,bird,"american golden-plover, lesser golden-plover",
equisetum scirpoides,yellowstone national park,227,vascular plant,dwarf scouringrush,
spizella pallida,yellowstone national park,258,bird,clay-colored sparrow,
hemitremia flammea,yellowstone national park,251,fish,flame chub,species of concern
fabronia ciliaris var. polycarpa,yellowstone national park,264,nonvascular plant,fabronia moss,
elymus trachycaulus ssp. subsecundus,yosemite national park,146,vascular plant,"bearded wheatgrass, slender wheatgrass, slender wild rye",
erigeron peregrinus var. hirsutus,yosemite national park,125,vascular plant,subalpine fleabane,
